student_id,gender,department,year,scholarship_rate,midterm_score,project_score,quiz_average,club_participation,library_visits,advisor_meetings,study_hours_mean,study_hours_sum,lms_logins_mean,lms_logins_sum,attendance_rate_mean,week_start_count,final_score,risk_status
S1013,F,Computer Engineering,1,50.0,60.6,97.3,76.3,N,6,1,4.808333333333334,57.7,17.416666666666668,209.0,0.8316666666666667,12,79.02634035117451,Not_At_Risk
S1014,F,AI Engineering,2,25.0,56.3,75.2,80.1,N,3,2,6.3500000000000005,76.2,17.5,210.0,0.7708333333333334,12,73.92775092820023,Not_At_Risk
S1015,F,Software Engineering,1,100.0,59.1,43.3,80.1,N,6,5,8.325000000000001,99.9,21.083333333333332,253.0,0.7458333333333332,12,77.80003041399857,Not_At_Risk
S1016,M,Dep-Unknown,2,25.0,66.4,76.7,91.5,N,5,6,4.55,54.6,11.583333333333334,139.0,0.8258333333333333,12,67.0100462641719,Not_At_Risk
S1017,M,Software Engineering,1,75.0,67.3,71.3,63.6,N,7,2,6.066666666666666,72.8,18.666666666666668,224.0,0.7799999999999999,12,58.63444118606212,At_Risk
S1018,M,Software Engineering,4,25.0,46.9,91.3,60.2,Y,6,3,7.466666666666666,89.6,19.833333333333332,238.0,0.8108333333333334,12,79.09380290100049,Not_At_Risk
S1019,M,AI Engineering,4,25.0,88.3,71.8,69.8,Y,7,2,7.008333333333333,84.1,17.166666666666668,206.0,0.7966666666666667,12,93.3014583016114,Not_At_Risk
S1020,F,Software Engineering,2,25.0,79.8,68.5,77.7,N,6,4,3.9333333333333336,47.2,11.583333333333334,139.0,0.8141666666666666,12,73.84663618503015,Not_At_Risk
S1021,F,Dep-Unknown,2,25.0,95.7,71.3,66.7,N,11,4,4.941666666666666,59.3,10.833333333333334,130.0,0.7533333333333333,12,93.86176618441726,Not_At_Risk
S1022,M,AI Engineering,1,75.0,73.5,42.5,62.8,N,8,2,4.958333333333333,59.5,14.083333333333334,169.0,0.8033333333333333,12,72.08011587183033,Not_At_Risk
S1023,M,Computer Engineering,3,50.0,83.7,67.2,88.7,N,11,1,10.716666666666667,128.6,22.833333333333332,274.0,0.8250000000000001,12,100.0,Not_At_Risk
S1024,M,Industrial Engineering,2,0.0,49.2,75.7,59.1,N,8,2,6.45,77.4,14.916666666666666,179.0,0.7983333333333333,12,75.2806979056247,Not_At_Risk
S1025,F,Industrial Engineering,1,100.0,77.0,66.4,89.1,Y,4,2,5.516666666666667,66.2,14.833333333333334,178.0,0.8875000000000001,12,73.57568600541505,Not_At_Risk
S1026,F,Software Engineering,3,25.0,41.1,42.6,82.5,Y,6,1,5.816666666666666,69.8,17.083333333333332,205.0,0.7725,12,74.04144065969055,Not_At_Risk
S1027,M,Software Engineering,3,50.0,53.4,77.7,94.9,Club-Unknown,6,4,7.516666666666667,90.2,15.083333333333334,181.0,0.7983333333333333,12,81.15320498667832,Not_At_Risk
S1028,F,Computer Engineering,4,100.0,65.5,65.6,98.4,Y,8,2,3.725,44.7,6.0,72.0,0.7941666666666666,12,84.93025925348654,Not_At_Risk
S1029,F,AI Engineering,2,50.0,62.8,70.1,74.8,N,9,0,4.241666666666666,50.9,12.75,153.0,0.775,12,64.40692446248865,Not_At_Risk
S1030,F,Industrial Engineering,2,0.0,67.7,89.6,97.0,Y,5,3,9.083333333333334,109.0,22.166666666666668,266.0,0.7516666666666666,12,91.52360349692788,Not_At_Risk
S1031,F,Industrial Engineering,1,100.0,78.5,76.3,76.6,N,8,1,6.908333333333334,82.9,14.833333333333334,178.0,0.7141666666666667,12,97.3006487369394,Not_At_Risk
S1032,F,Industrial Engineering,4,50.0,67.4,63.3,71.3,Y,3,4,5.333333333333333,64.0,8.416666666666666,101.0,0.8158333333333333,12,75.95393982321504,Not_At_Risk
S1033,M,Dep-Unknown,3,25.0,52.7,77.5,71.3,Y,5,2,6.358333333333333,76.3,15.333333333333334,184.0,0.7916666666666666,12,74.41116290664897,Not_At_Risk
S1034,Gender-Unknown,Computer Engineering,1,0.0,53.0,66.1,64.4,N,9,4,3.533333333333333,42.4,7.5,90.0,0.7133333333333334,12,60.93406748630384,Not_At_Risk
S1035,F,Computer Engineering,1,75.0,80.0,67.8,79.9,N,6,5,5.416666666666667,65.0,14.333333333333334,172.0,0.8141666666666666,12,81.32889084097731,Not_At_Risk
S1036,M,Industrial Engineering,1,50.0,72.5,82.6,85.0,N,15,2,5.966666666666666,71.6,12.833333333333334,154.0,0.7975,12,90.29049608761052,Not_At_Risk
S1037,F,Software Engineering,3,50.0,80.5,63.0,71.3,Y,9,0,5.45,65.4,12.833333333333334,154.0,0.8033333333333333,12,79.94260235467074,Not_At_Risk
S1038,M,Software Engineering,4,100.0,76.8,79.9,71.3,N,6,4,6.333333333333333,76.0,15.5,186.0,0.7758333333333334,12,91.88921739716116,Not_At_Risk
S1039,M,Industrial Engineering,1,75.0,68.9,68.8,91.1,N,7,1,7.2749999999999995,87.3,20.25,243.0,0.7600000000000001,12,79.09266580185508,Not_At_Risk
S1040,F,Dep-Unknown,2,0.0,68.2,64.9,62.4,N,8,3,9.475,113.7,18.833333333333332,226.0,0.8116666666666666,12,83.61530479316615,Not_At_Risk
S1041,M,Computer Engineering,1,25.0,69.5,64.9,77.3,N,3,3,5.483333333333333,65.8,10.25,123.0,0.7050000000000001,12,76.93831842499608,Not_At_Risk
S1042,F,Computer Engineering,4,0.0,62.5,63.4,69.4,N,8,1,8.966666666666667,107.6,21.818181818181817,240.0,0.8125,12,83.26107804853467,Not_At_Risk
S1043,M,AI Engineering,3,75.0,62.7,73.2,74.3,Y,7,4,5.8500000000000005,70.2,17.833333333333332,214.0,0.6966666666666667,12,73.48535381675364,Not_At_Risk
S1044,F,Software Engineering,3,0.0,75.5,68.2,68.2,Y,8,3,7.766666666666667,93.2,18.5,222.0,0.7625000000000001,12,99.12955102590048,Not_At_Risk
S1045,M,AI Engineering,2,50.0,89.6,91.2,76.8,Y,4,1,8.716666666666667,104.6,23.666666666666668,284.0,0.8133333333333334,12,100.0,Not_At_Risk
S1046,M,Computer Engineering,1,75.0,42.9,59.6,56.1,Y,5,1,5.933333333333334,71.2,13.583333333333334,163.0,0.7374999999999999,12,67.3597132498075,Not_At_Risk
S1047,M,Computer Engineering,1,100.0,65.5,79.6,98.5,N,4,4,7.833333333333333,94.0,18.363636363636363,202.0,0.7541666666666668,12,100.0,Not_At_Risk
S1048,M,AI Engineering,1,25.0,78.4,88.0,57.1,N,7,0,6.416666666666667,77.0,17.666666666666668,212.0,0.8125,12,85.74837532865222,Not_At_Risk
S1049,F,Software Engineering,3,100.0,74.5,96.2,77.2,Y,4,2,8.075000000000001,96.9,20.75,249.0,0.7533333333333333,12,79.07063200603852,Not_At_Risk
S1050,Gender-Unknown,AI Engineering,3,0.0,52.9,60.6,61.2,N,8,1,5.558333333333334,66.7,12.75,153.0,0.8108333333333334,12,84.55436607390908,Not_At_Risk
S1051,F,AI Engineering,4,100.0,57.3,86.3,68.0,N,9,1,7.558333333333334,90.7,15.833333333333334,190.0,0.7758333333333334,12,83.08790774680571,Not_At_Risk
S1052,M,Industrial Engineering,4,0.0,77.2,74.9,76.0,N,6,3,5.883333333333333,70.6,13.166666666666666,158.0,0.7891666666666667,12,79.75948552045422,Not_At_Risk
S1053,M,Computer Engineering,2,25.0,65.5,86.7,71.3,N,9,4,7.966666666666666,95.6,17.083333333333332,205.0,0.7866666666666666,12,100.0,Not_At_Risk
S1054,F,AI Engineering,2,75.0,48.6,63.0,71.7,Y,6,1,1.9666666666666668,23.6,3.25,39.0,0.8008333333333333,12,55.77139819721292,At_Risk
S1055,M,Computer Engineering,4,0.0,55.1,70.4,65.2,Y,6,2,4.783333333333334,57.400000000000006,12.25,147.0,0.7866666666666666,12,63.65721862868587,Not_At_Risk
S1056,F,Industrial Engineering,3,0.0,56.9,66.9,71.3,N,10,0,6.883333333333333,82.6,17.666666666666668,212.0,0.7633333333333333,12,81.19556642776845,Not_At_Risk
S1057,F,AI Engineering,1,75.0,55.6,65.7,78.6,N,6,2,4.9750000000000005,59.7,11.083333333333334,133.0,0.7083333333333334,12,69.82271194499273,Not_At_Risk
S1058,F,Software Engineering,2,75.0,72.1,72.6,58.9,Y,4,2,7.291666666666667,87.5,21.583333333333332,259.0,0.7683333333333334,12,100.0,Not_At_Risk
S1059,M,AI Engineering,1,50.0,52.6,71.3,61.6,N,10,3,7.925,95.1,21.666666666666668,260.0,0.735,12,68.41319259485033,Not_At_Risk
S1060,M,AI Engineering,4,50.0,79.7,81.4,71.3,Y,6,1,6.483333333333333,77.8,17.666666666666668,212.0,0.7791666666666667,12,84.21396046594758,Not_At_Risk
S1061,F,Computer Engineering,2,50.0,45.7,67.1,65.7,Y,6,1,9.033333333333333,108.4,24.25,291.0,0.6816666666666666,12,70.00051903132454,Not_At_Risk
S1062,F,Computer Engineering,1,0.0,82.6,67.9,51.5,Y,5,2,7.391666666666667,88.7,20.0,240.0,0.7675000000000001,12,78.31207455008104,Not_At_Risk
S1063,M,Software Engineering,2,25.0,65.5,79.9,51.7,N,5,0,8.133333333333333,97.6,15.583333333333334,187.0,0.7725,12,98.25417883973276,Not_At_Risk
S1064,M,Software Engineering,2,0.0,79.7,69.4,77.1,N,6,1,7.8999999999999995,94.8,17.666666666666668,212.0,0.6866666666666666,12,82.93438873439456,Not_At_Risk
S1065,M,Computer Engineering,1,100.0,59.8,69.4,77.2,Y,7,5,5.058333333333334,60.7,12.0,144.0,0.7266666666666667,12,69.88595313521868,Not_At_Risk
S1066,F,Computer Engineering,1,50.0,60.5,56.5,74.0,Y,12,2,9.008333333333333,108.1,19.416666666666668,233.0,0.7966666666666667,12,82.69434998814256,Not_At_Risk
S1067,F,Computer Engineering,2,25.0,51.1,71.3,87.9,N,2,3,5.158333333333333,61.9,12.833333333333334,154.0,0.7483333333333334,12,70.15696799832699,Not_At_Risk
S1068,F,Industrial Engineering,2,25.0,84.2,36.6,58.5,N,4,3,5.675,68.1,10.416666666666666,125.0,0.7525,12,63.351268066335265,Not_At_Risk
S1069,Gender-Unknown,AI Engineering,2,100.0,70.4,47.2,47.6,N,8,3,9.308333333333334,111.7,20.083333333333332,241.0,0.8416666666666667,12,66.8063021089951,Not_At_Risk
S1070,F,Computer Engineering,2,0.0,40.9,67.1,80.2,N,4,2,4.116666666666666,49.4,9.25,111.0,0.7408333333333333,12,66.59256486421793,Not_At_Risk
S1071,F,AI Engineering,3,50.0,46.2,81.2,47.3,Y,9,3,9.733333333333333,116.8,22.916666666666668,275.0,0.8325,12,78.50686230883788,Not_At_Risk
S1072,F,AI Engineering,2,50.0,41.6,94.6,68.2,N,15,2,5.3999999999999995,64.8,12.833333333333334,154.0,0.8375,12,62.66049540349515,Not_At_Risk
S1073,F,Computer Engineering,2,50.0,79.4,77.6,73.6,N,9,2,4.208333333333333,50.5,14.0,168.0,0.6908333333333333,12,86.19797215383512,Not_At_Risk
S1074,M,Industrial Engineering,3,0.0,53.0,79.5,96.8,Y,6,3,5.225,62.699999999999996,10.083333333333334,121.0,0.7791666666666667,12,80.96571851841402,Not_At_Risk
S1075,M,Software Engineering,1,100.0,80.5,73.6,62.9,Y,5,0,2.0833333333333335,25.0,8.333333333333334,100.0,0.75,12,60.56439607297161,Not_At_Risk
S1076,F,Computer Engineering,1,100.0,59.6,83.7,63.9,N,3,0,6.008333333333334,72.10000000000001,16.333333333333332,196.0,0.8133333333333334,12,72.83900231611452,Not_At_Risk
S1077,F,AI Engineering,1,50.0,79.9,75.0,78.6,Y,11,3,7.941666666666666,95.3,22.833333333333332,274.0,0.73,12,100.0,Not_At_Risk
S1078,M,AI Engineering,2,50.0,64.1,77.2,77.8,Y,6,1,6.058333333333334,72.7,15.75,189.0,0.7666666666666666,12,78.6878652727753,Not_At_Risk
S1079,F,AI Engineering,2,100.0,82.2,50.1,65.5,N,8,2,7.8999999999999995,94.8,20.083333333333332,241.0,0.7925,12,78.9841418644273,Not_At_Risk
S1080,M,Computer Engineering,2,75.0,56.1,75.7,72.4,Y,4,2,5.175,62.1,12.5,150.0,0.7983333333333333,12,79.01279599073973,Not_At_Risk
S1081,F,Software Engineering,1,0.0,57.0,72.3,60.4,Y,13,4,5.875,70.5,16.75,201.0,0.7141666666666667,12,90.91397381814488,Not_At_Risk
S1082,M,Software Engineering,1,50.0,61.2,66.2,75.8,Club-Unknown,6,2,5.825,69.9,12.818181818181818,141.0,0.6841666666666666,12,82.94875813735145,Not_At_Risk
S1083,F,AI Engineering,1,50.0,80.5,67.2,49.3,N,8,1,6.4750000000000005,77.7,14.75,177.0,0.7391666666666666,12,74.6996992726132,Not_At_Risk
S1084,M,Computer Engineering,1,25.0,51.8,53.3,71.3,N,12,1,5.483333333333333,65.8,12.166666666666666,146.0,0.7858333333333333,12,70.58356690784076,Not_At_Risk
S1085,M,Industrial Engineering,2,75.0,59.4,79.5,79.4,N,4,0,7.158333333333334,85.9,19.25,231.0,0.8033333333333333,12,83.17780445474025,Not_At_Risk
S1086,M,Software Engineering,1,100.0,64.3,75.3,55.7,N,7,0,4.9750000000000005,59.7,10.583333333333334,127.0,0.7733333333333333,12,78.635206877408,Not_At_Risk
S1087,F,Software Engineering,1,100.0,74.0,73.0,66.5,Y,5,0,7.383333333333333,88.6,15.916666666666666,191.0,0.7916666666666666,12,85.56624598277158,Not_At_Risk
S1088,M,Computer Engineering,3,25.0,62.1,75.2,56.3,N,4,1,5.366666666666667,64.4,13.666666666666666,164.0,0.7975,12,73.19853449525162,Not_At_Risk
S1089,M,AI Engineering,1,0.0,76.7,54.6,59.4,Y,14,0,5.816666666666666,69.8,13.083333333333334,157.0,0.755,12,67.81120593102018,Not_At_Risk
S1090,F,Computer Engineering,2,25.0,56.8,96.7,72.8,Y,7,2,5.441666666666666,65.3,14.416666666666666,173.0,0.8433333333333333,12,73.83571902076069,Not_At_Risk
S1091,M,Industrial Engineering,2,100.0,82.8,85.2,88.1,Y,6,1,4.041666666666667,48.5,9.0,108.0,0.7741666666666666,12,90.37616066519152,Not_At_Risk
S1092,F,AI Engineering,1,0.0,79.3,80.7,68.7,Y,9,2,6.325,75.9,13.583333333333334,163.0,0.8141666666666666,12,92.3426385236654,Not_At_Risk
S1093,F,AI Engineering,2,100.0,59.4,92.8,45.4,Y,6,4,4.7250000000000005,56.7,9.5,114.0,0.7033333333333333,12,78.50847702967621,Not_At_Risk
S1094,F,AI Engineering,3,100.0,78.8,75.0,62.0,N,4,1,4.075,48.9,10.916666666666666,131.0,0.7883333333333334,12,80.47144744494526,Not_At_Risk
S1095,M,AI Engineering,4,50.0,51.6,68.0,62.9,Y,9,3,5.45,65.4,13.0,156.0,0.7808333333333333,12,72.36018754852226,Not_At_Risk
S1096,M,Industrial Engineering,1,50.0,70.4,75.8,71.2,N,5,2,3.725,44.7,12.083333333333334,145.0,0.7775,12,76.32813804796578,Not_At_Risk
S1097,M,Software Engineering,4,25.0,56.2,93.4,68.2,Y,5,4,5.3999999999999995,64.8,12.833333333333334,154.0,0.68,12,77.77129737250378,Not_At_Risk
S1098,F,Computer Engineering,2,0.0,72.7,59.5,41.4,N,7,4,4.125,49.5,12.416666666666666,149.0,0.7733333333333333,12,69.03011386425415,Not_At_Risk
S1099,F,AI Engineering,1,25.0,65.5,93.2,58.0,Y,10,4,6.633333333333333,79.6,19.333333333333332,232.0,0.7125,12,81.28123592292147,Not_At_Risk
S1100,F,Computer Engineering,2,75.0,56.6,53.1,55.6,N,7,2,5.05,60.6,13.5,162.0,0.8233333333333333,12,68.70780629282308,Not_At_Risk
S1101,F,Computer Engineering,4,0.0,44.4,79.5,81.7,N,3,3,7.158333333333334,85.9,17.916666666666668,215.0,0.6925,12,84.36211447280172,Not_At_Risk
S1102,M,AI Engineering,2,25.0,64.8,86.1,66.3,N,5,2,6.175,74.1,14.083333333333334,169.0,0.7766666666666667,12,71.65329341091945,Not_At_Risk
S1103,M,Computer Engineering,1,25.0,85.9,81.0,44.0,N,3,0,7.183333333333334,86.2,18.583333333333332,223.0,0.7358333333333333,12,100.0,Not_At_Risk
S1104,M,Computer Engineering,2,50.0,72.3,86.7,58.7,N,12,2,6.7749999999999995,81.3,15.0,180.0,0.7983333333333333,12,83.12584851575056,Not_At_Risk
S1105,F,Software Engineering,1,100.0,44.5,70.2,85.3,Y,9,2,4.675,56.1,13.0,156.0,0.8058333333333333,12,80.25355043012291,Not_At_Risk
S1106,M,Software Engineering,1,25.0,64.5,54.2,71.3,N,4,4,4.791666666666667,57.5,12.75,153.0,0.7508333333333334,12,77.98628161369612,Not_At_Risk
S1107,M,AI Engineering,1,25.0,85.8,86.7,61.2,N,14,3,6.541666666666667,78.5,15.666666666666666,188.0,0.8208333333333333,12,80.26910481703437,Not_At_Risk
S1108,F,Computer Engineering,1,75.0,63.4,97.9,67.8,Y,8,0,6.316666666666666,75.8,15.833333333333334,190.0,0.7583333333333333,12,83.60947102048681,Not_At_Risk
S1109,F,Software Engineering,1,25.0,53.4,69.7,72.9,N,10,1,0.8250000000000001,9.9,3.5,42.0,0.6666666666666666,12,44.11210079364881,At_Risk
S1110,M,Computer Engineering,1,0.0,94.2,81.5,68.1,N,9,2,8.558333333333334,102.7,22.636363636363637,249.0,0.6916666666666668,12,92.1696216454695,Not_At_Risk
S1111,F,Industrial Engineering,2,25.0,51.8,60.4,83.3,N,5,3,6.866666666666667,82.4,17.833333333333332,214.0,0.8041666666666667,12,78.50648337126577,Not_At_Risk
S1112,M,Software Engineering,1,0.0,64.6,59.4,68.1,N,12,3,4.625,55.5,12.25,147.0,0.7891666666666666,12,75.55036167936105,Not_At_Risk
S1113,F,AI Engineering,1,0.0,58.8,73.5,78.8,Y,3,2,6.2749999999999995,75.3,18.75,225.0,0.8375,12,79.52861485089149,Not_At_Risk
S1114,F,AI Engineering,3,25.0,77.8,61.8,72.6,N,5,1,5.316666666666666,63.8,12.166666666666666,146.0,0.805,12,80.18399242496079,Not_At_Risk
S1115,M,Software Engineering,2,25.0,75.2,73.3,53.2,Club-Unknown,7,1,5.6000000000000005,67.2,14.916666666666666,179.0,0.8041666666666667,12,71.45808601888504,Not_At_Risk
S1116,F,AI Engineering,2,100.0,54.6,71.3,93.2,N,6,2,9.566666666666666,114.8,21.833333333333332,262.0,0.77,12,99.86816668672007,Not_At_Risk
S1117,F,Software Engineering,1,25.0,57.5,62.1,85.0,Y,7,3,7.05,84.6,14.5,174.0,0.8191666666666667,12,75.04512945769974,Not_At_Risk
S1118,M,Computer Engineering,1,50.0,70.1,76.8,62.6,N,9,1,6.3,75.6,15.083333333333334,181.0,0.8133333333333334,12,81.76306057972317,Not_At_Risk
S1119,M,Software Engineering,1,50.0,71.3,47.4,68.6,Y,9,1,6.891666666666667,82.7,18.272727272727273,201.0,0.7016666666666667,12,84.37901949453605,Not_At_Risk
S1120,F,Computer Engineering,1,0.0,64.6,79.3,78.0,Y,2,0,6.091666666666666,73.1,13.333333333333334,160.0,0.7808333333333333,12,80.44939668249167,Not_At_Risk
S1121,M,Software Engineering,1,50.0,63.4,62.1,72.3,N,4,2,5.466666666666666,65.6,11.083333333333334,133.0,0.7466666666666666,12,63.27600929440292,Not_At_Risk
S1122,M,Computer Engineering,1,0.0,49.6,71.3,71.4,Y,9,5,9.266666666666667,111.2,18.818181818181817,207.0,0.8475,12,64.30614680947699,Not_At_Risk
S1123,F,Computer Engineering,1,100.0,95.8,75.7,76.6,Y,10,1,7.7749999999999995,93.3,19.166666666666668,230.0,0.7475,12,98.74293575624982,Not_At_Risk
S1124,F,Computer Engineering,1,0.0,77.6,73.9,74.6,N,4,2,4.416666666666667,53.0,12.0,144.0,0.7033333333333333,12,69.99583353521231,Not_At_Risk
S1125,M,Computer Engineering,2,25.0,68.1,58.7,74.7,Y,9,1,4.491666666666666,53.9,9.25,111.0,0.7208333333333333,12,78.85670533283994,Not_At_Risk
S1126,F,Computer Engineering,1,0.0,65.5,68.0,71.2,N,5,1,5.633333333333333,67.6,14.666666666666666,176.0,0.7183333333333334,12,90.16431663411728,Not_At_Risk
S1127,M,Dep-Unknown,1,25.0,64.9,75.3,78.3,Y,6,1,5.8500000000000005,70.2,15.916666666666666,191.0,0.8033333333333333,12,74.1557282683554,Not_At_Risk
S1128,F,AI Engineering,2,50.0,55.8,68.6,72.7,Y,11,2,5.591666666666666,67.1,17.916666666666668,215.0,0.7316666666666666,12,59.88527981309376,At_Risk
S1129,M,AI Engineering,2,50.0,73.2,91.6,73.1,N,8,2,4.3999999999999995,52.8,8.833333333333334,106.0,0.7891666666666667,12,82.46268378830655,Not_At_Risk
S1130,M,AI Engineering,1,0.0,70.1,72.6,87.9,Y,8,1,5.966666666666666,71.6,16.666666666666668,200.0,0.8058333333333333,12,95.51174514356669,Not_At_Risk
S1131,F,AI Engineering,2,75.0,93.2,58.1,75.6,Y,8,0,7.208333333333333,86.5,16.333333333333332,196.0,0.8250000000000001,12,90.08593331298977,Not_At_Risk
S1132,F,AI Engineering,2,0.0,56.9,78.0,74.3,N,2,0,5.2,62.400000000000006,13.25,159.0,0.7108333333333333,12,68.6841328104341,Not_At_Risk
S1133,M,Software Engineering,1,100.0,53.6,37.7,58.4,Club-Unknown,5,4,7.6499999999999995,91.8,18.5,222.0,0.7275,12,70.95229564316855,Not_At_Risk
S1134,M,AI Engineering,3,0.0,99.5,99.5,59.1,Club-Unknown,6,3,4.7250000000000005,56.7,16.333333333333332,196.0,0.7575,12,93.89347351899946,Not_At_Risk
S1135,M,Computer Engineering,4,0.0,65.5,47.9,84.8,N,10,3,4.1499999999999995,49.8,10.916666666666666,131.0,0.7374999999999999,12,95.30656854305396,Not_At_Risk
S1136,M,Industrial Engineering,1,0.0,77.6,84.6,77.4,N,10,2,6.0,72.0,16.75,201.0,0.7691666666666667,12,76.95641316979314,Not_At_Risk
S1137,M,AI Engineering,1,25.0,57.7,82.4,81.9,N,3,1,7.316666666666666,87.8,18.333333333333332,220.0,0.6775000000000001,12,94.5658874590442,Not_At_Risk
S1138,M,Industrial Engineering,3,50.0,74.3,56.2,72.6,N,7,3,6.2250000000000005,74.7,16.083333333333332,193.0,0.7383333333333333,12,78.3271025976518,Not_At_Risk
S1139,Gender-Unknown,AI Engineering,2,0.0,48.6,79.8,75.2,Y,7,2,5.541666666666667,66.5,14.75,177.0,0.6866666666666666,12,85.34237912532232,Not_At_Risk
S1140,Gender-Unknown,AI Engineering,1,75.0,60.3,62.3,71.3,N,8,2,7.7,92.4,17.666666666666668,212.0,0.8808333333333334,12,80.9352197171972,Not_At_Risk
S1141,F,Software Engineering,1,25.0,50.5,69.7,69.7,N,7,3,4.95,59.4,9.5,114.0,0.8408333333333333,12,73.78850720577223,Not_At_Risk
S1142,M,Software Engineering,1,50.0,56.7,78.6,64.6,N,10,2,4.583333333333333,55.0,12.0,144.0,0.6958333333333333,12,63.64666415155705,Not_At_Risk
S1143,M,Industrial Engineering,2,25.0,50.1,71.3,87.3,N,7,0,4.333333333333333,52.0,10.083333333333334,121.0,0.8525,12,78.75863278135455,Not_At_Risk
S1144,M,Industrial Engineering,2,25.0,78.4,71.3,60.7,N,6,3,8.741666666666665,104.89999999999999,23.727272727272727,261.0,0.7858333333333333,12,59.7503211441384,At_Risk
S1145,F,Industrial Engineering,1,50.0,94.8,77.7,74.0,N,7,3,5.183333333333334,62.2,8.083333333333334,97.0,0.7658333333333333,12,87.4901224993985,Not_At_Risk
S1146,F,AI Engineering,2,0.0,82.6,69.1,68.0,N,6,2,3.6916666666666664,44.3,8.916666666666666,107.0,0.7691666666666667,12,71.41686216121134,Not_At_Risk
S1147,M,AI Engineering,2,0.0,79.2,70.5,82.4,N,10,4,5.075,60.9,14.166666666666666,170.0,0.6725,12,79.18687958974353,Not_At_Risk
S1148,F,Industrial Engineering,1,100.0,63.0,71.3,73.0,Y,7,0,6.3500000000000005,76.2,13.916666666666666,167.0,0.7833333333333333,12,85.79670681700281,Not_At_Risk
S1149,F,Industrial Engineering,1,100.0,70.9,53.2,76.0,N,4,2,6.166666666666667,74.0,15.416666666666666,185.0,0.81,12,73.87180438540456,Not_At_Risk
S1150,M,Dep-Unknown,2,25.0,51.9,56.3,72.7,N,7,2,4.9750000000000005,59.7,10.916666666666666,131.0,0.85,12,75.33268450123904,Not_At_Risk
S1151,F,Computer Engineering,3,0.0,48.5,63.8,57.1,Y,5,2,4.958333333333333,59.5,16.916666666666668,203.0,0.7133333333333334,12,61.07281183542724,Not_At_Risk
S1152,F,Computer Engineering,2,50.0,46.2,77.7,77.2,N,7,3,6.408333333333334,76.9,13.5,162.0,0.8066666666666666,12,76.89814473850959,Not_At_Risk
S1153,M,Industrial Engineering,2,25.0,49.7,59.0,68.7,Y,7,0,6.658333333333334,79.9,14.666666666666666,176.0,0.7566666666666667,12,85.96714021614581,Not_At_Risk
S1154,Gender-Unknown,Computer Engineering,1,0.0,78.3,88.6,60.1,Y,8,0,7.325,87.9,16.166666666666668,194.0,0.7266666666666667,12,87.77899640184148,Not_At_Risk
S1155,F,Dep-Unknown,1,0.0,80.0,74.8,51.7,N,7,0,3.7416666666666667,44.9,8.75,105.0,0.7941666666666666,12,70.99655533244906,Not_At_Risk
S1156,M,Industrial Engineering,2,75.0,54.5,77.1,59.4,Y,8,2,1.8083333333333333,21.7,3.3333333333333335,40.0,0.7791666666666667,12,61.675948822830385,Not_At_Risk
